rank,mp_id,mp_name,state,constituency,party,total_works,anomalous_works,anomaly_rate_pct,avg_cost_overrun_pct,avg_delay_days,inspection_rate_pct,utilization_pct,risk_score,risk_tier
198,198,K Radhakrishnan,Kerala,ALATHUR(SC),INC,39,25,64.1,13.97,45.2,76.92,75.04,100,Clean / Exemplary
199,199,K. C Venugopal,Kerala,ALAPPUZHA,YSR Congress,23,16,69.57,7.38,63.8,52.17,85.99,100,Clean / Exemplary
200,200,Priyanka Gandhi Vadra,Kerala,WAYANAD,BJP,37,28,75.68,7.85,57.5,62.16,27.4,100,High Risk
201,201,Shafi Parambil,Kerala,VADAKARA,JDU,48,31,64.58,6.7,86.2,66.67,42.17,100,Moderate Risk
202,202,Shri Benny Behanan,Kerala,CHALAKUDY,INC,31,21,67.74,11.88,64.9,77.42,69.07,100,Clean / Exemplary
203,203,Shri Hibi Eden,Kerala,ERNAKULAM,JDU,36,22,61.11,10.5,53.5,69.44,59.73,100,Moderate Risk
204,204,Shri Kumbakudi Sudhakaran,Kerala,KANNUR,JDU,31,20,64.52,12.71,50.2,80.65,74.17,100,Clean / Exemplary
205,205,Shri M K Raghavan,Kerala,KOZHIKODE,TMC,35,19,54.29,10.7,33.6,68.57,27.3,100,High Risk
206,206,Shri Nk Premachandran,Kerala,KOLLAM,TMC,17,14,82.35,10.56,85.4,76.47,40.18,100,Moderate Risk
207,207,Shri Rajmohan Unnithan,Kerala,KASARAGOD,BJP,8,8,100.0,14.36,177.9,50.0,54.43,100,Moderate Risk
208,208,Shri Suresh Kodikunnil,Kerala,MAVELIKKARA(SC),INC,20,16,80.0,14.12,68.6,70.0,35.26,100,High Risk
209,209,Suresh Gopi,Kerala,THRISSUR,INC,51,39,76.47,12.17,74.7,68.63,27.65,100,High Risk
210,210,Vellalath Kochukrishnan Nair Sreekandan,Kerala,PALAKKAD,INC,28,15,53.57,7.79,34.4,85.71,61.56,100,Moderate Risk
211,211,Mohamed Haneefa,Ladakh,LADAKH,TDP,11,9,81.82,-1.25,111.7,81.82,49.89,100,Moderate Risk
212,212,Muhammed Hamdullah Sayeed,Lakshadweep,LAKSHADWEEP(ST),BSP,23,14,60.87,21.37,60.7,65.22,56.7,100,Moderate Risk
213,213,Alok Sharma,Madhya Pradesh,BHOPAL,SP,14,8,57.14,4.75,83.3,64.29,37.45,100,High Risk
214,214,Anita Nagarsingh Chouhan,Madhya Pradesh,RATLAM(ST),RJD,20,15,75.0,13.98,75.4,80.0,43.87,100,Moderate Risk
215,215,Ashish Dubey,Madhya Pradesh,JABALPUR,AAP,17,12,70.59,21.25,41.2,82.35,71.85,100,Clean / Exemplary
216,216,Bharat Singh Kushwah,Madhya Pradesh,GWALIOR,INC,24,10,41.67,-0.2,37.4,75.0,69.62,100,Clean / Exemplary
217,217,Bharti Pardhi,Madhya Pradesh,BALAGHAT,BJP,15,10,66.67,10.63,62.7,80.0,65.82,100,Clean / Exemplary
218,218,Bunty Vivek Sahu,Madhya Pradesh,CHHINDWARA,TMC,29,14,48.28,11.91,41.0,65.52,64.06,100,Moderate Risk
219,219,Darshan Singh Choudhary,Madhya Pradesh,HOSHANGABAD,BJP,11,6,54.55,2.23,88.7,81.82,53.18,100,Moderate Risk
220,220,Dr. Lata Wankhede,Madhya Pradesh,SAGAR,SP,19,16,84.21,17.82,94.6,42.11,52.39,100,Moderate Risk
221,221,Dr. Rajesh Mishra,Madhya Pradesh,SIDHI,SP,38,23,60.53,5.16,78.8,81.58,18.0,100,High Risk
222,222,Durga Das Uikey,Madhya Pradesh,BETUL(ST),BJP,58,36,62.07,12.35,41.9,74.14,69.39,100,Clean / Exemplary
223,223,Faggan Singh Kulaste,Madhya Pradesh,MANDLA(ST),BJP,12,7,58.33,6.71,26.5,75.0,30.52,100,High Risk
224,224,Gajendra Singh Patel,Madhya Pradesh,KHARGONE(ST),TMC,10,4,40.0,3.28,47.0,70.0,33.35,100,High Risk
225,225,Ganesh Singh,Madhya Pradesh,SATNA,BJD,14,6,42.86,2.74,17.0,92.86,30.93,100,High Risk
226,226,Gyaneshwar Patil,Madhya Pradesh,KHANDWA,Others,16,10,62.5,7.15,80.4,87.5,35.57,100,High Risk
227,227,Janardan Mishra,Madhya Pradesh,REWA,DMK,15,8,53.33,2.78,60.6,80.0,84.77,100,Clean / Exemplary
228,228,Jyotiraditya M. Scindia,Madhya Pradesh,GUNA,BJP,16,10,62.5,15.94,52.4,75.0,71.63,100,Clean / Exemplary
229,229,Mahendra Singh Solanky,Madhya Pradesh,DEWAS(SC),BJP,54,37,68.52,10.71,55.8,64.81,58.88,100,Moderate Risk
230,230,Rahul Singh Lodhi,Madhya Pradesh,DAMOH,INC,29,19,65.52,9.05,105.8,68.97,42.62,100,Moderate Risk
231,231,Rodmal Nagar,Madhya Pradesh,RAJGARH,INC,38,26,68.42,19.29,53.3,71.05,85.32,100,Clean / Exemplary
232,232,Savitri Thakur,Madhya Pradesh,DHAR(ST),TMC,42,34,80.95,10.14,96.8,69.05,21.9,100,High Risk
233,233,Shankar Lalwani,Madhya Pradesh,INDORE,YSR Congress,50,36,72.0,9.56,72.3,72.0,30.65,100,High Risk
234,234,Shivmangal Singh Tomar,Madhya Pradesh,MORENA,SP,50,23,46.0,7.32,59.3,76.0,82.32,100,Clean / Exemplary
235,235,Shivraj Singh Chouhan,Madhya Pradesh,VIDISHA,SP,27,16,59.26,3.9,32.9,62.96,77.33,100,Clean / Exemplary
236,236,Shri Anil Firojiya,Madhya Pradesh,UJJAIN(SC),BJP,26,17,65.38,5.07,96.1,69.23,41.37,100,Moderate Risk
237,237,Shri Sudheer Gupta,Madhya Pradesh,MANDSOUR,TMC,50,33,66.0,11.32,58.6,76.0,50.3,100,Moderate Risk
238,238,Smt Himadri Singh,Madhya Pradesh,SHAHDOL (ST),BJP,34,27,79.41,10.04,98.8,61.76,43.84,100,Moderate Risk
239,239,Smt Sandhya Ray,Madhya Pradesh,BHIND(SC),SP,20,15,75.0,17.64,99.4,55.0,31.2,100,High Risk
240,240,Virendra Kumar,Madhya Pradesh,TIKAMGARH(SC),TDP,28,19,67.86,14.54,86.2,67.86,49.16,100,Moderate Risk
241,241,Vishnu Dutt Sharma,Madhya Pradesh,KHAJURAHO,BJP,24,15,62.5,7.13,93.1,66.67,40.12,100,Moderate Risk
242,242,Aashtikar Patil Nagesh Bapurao,Maharashtra,HINGOLI,SP,18,10,55.56,5.74,47.8,55.56,36.24,100,High Risk
243,243,Adv Gowaal Kagada Padavi,Maharashtra,NANDURBAR(ST),TMC,19,8,42.11,7.74,30.4,68.42,56.5,100,Moderate Risk
244,244,Amar Sharadrao Kale,Maharashtra,WARDHA,RJD,40,25,62.5,7.19,74.1,60.0,40.28,100,Moderate Risk
245,245,Amol Ramsing Kolhe,Maharashtra,SHIRUR,TDP,29,21,72.41,8.66,78.9,72.41,49.9,100,Moderate Risk
246,246,Anil Yeshwant Desai,Maharashtra,MUMBAI SOUTH CENTRAL,INC,10,6,60.0,6.68,56.5,90.0,32.21,100,High Risk
247,247,Anup Sanjay Dhotre,Maharashtra,AKOLA,BJD,18,15,83.33,18.63,93.9,77.78,20.64,100,High Risk
248,248,Arvind Ganpat Sawant,Maharashtra,MUMBAI SOUTH,AAP,10,2,20.0,-2.31,10.0,80.0,58.98,100,Moderate Risk
249,249,Bachhav Shobha Dinesh,Maharashtra,DHULE,BJP,21,14,66.67,7.36,80.7,71.43,68.72,100,Clean / Exemplary
250,250,Bajrang Manohar Sonwane,Maharashtra,BEED,BJP,10,6,60.0,14.51,59.9,80.0,44.24,100,Moderate Risk
251,251,Balwant Baswant Wankhade,Maharashtra,AMRAVATI(SC),BJD,14,6,42.86,-0.7,67.4,78.57,40.09,100,Moderate Risk
252,252,Balya Mama Suresh Gopinath Mhatre,Maharashtra,BHIWANDI,DMK,24,13,54.17,5.44,93.0,62.5,64.97,100,Moderate Risk
253,253,Bhaskar Murlidhar Bhagare,Maharashtra,DINDORI(ST),CPI(M),28,20,71.43,4.99,77.2,67.86,42.35,100,Moderate Risk
254,254,Bhausaheb Rajaram Wakchaure,Maharashtra,SHIRDI(SC),INC,40,30,75.0,10.15,81.8,67.5,51.39,100,Moderate Risk
255,255,Bhumare Sandipanrao Asaram,Maharashtra,AURANGABAD_MH,YSR Congress,10,7,70.0,15.52,67.1,40.0,30.01,100,High Risk
256,256,Chhatrapati Shahu Shahaji,Maharashtra,KOLHAPUR,BJP,43,33,76.74,9.15,85.5,72.09,86.78,100,Clean / Exemplary
257,257,Dhairyasheel Sambhajirao Mane,Maharashtra,HATKANANGLE,SP,18,9,50.0,3.57,43.6,77.78,45.82,100,Moderate Risk
258,258,Dhanorkar Pratibha Suresh Alias Balubhau,Maharashtra,CHANDRAPUR,TMC,16,10,62.5,10.52,52.0,43.75,69.93,100,Clean / Exemplary
259,259,Dr Kalge Shivaji Bandappa,Maharashtra,LATUR(SC),DMK,28,13,46.43,9.55,57.7,85.71,62.74,100,Moderate Risk
260,260,Dr. Hemant Vishnu Savara,Maharashtra,PALGHAR(ST),BJD,26,17,65.38,8.09,69.9,80.77,31.5,100,High Risk
261,261,Dr. Kirsan Namdeo,Maharashtra,GADCHIROLI-CHIMUR(ST),NCP,30,14,46.67,8.99,31.9,73.33,81.4,100,Clean / Exemplary
262,262,Dr. Prashant Yadaorao Padole,Maharashtra,BHANDARA-GONDIYA,TDP,27,18,66.67,6.22,64.8,81.48,52.8,100,Moderate Risk
263,263,Gaikwad Varsha Eknath,Maharashtra,MUMBAI NORTH-CENTRAL,BJP,12,6,50.0,13.42,37.2,58.33,24.7,100,High Risk
264,264,Kalyan Vaijinathrao Kale,Maharashtra,JALNA,BJD,15,9,60.0,9.58,39.5,86.67,77.73,100,Clean / Exemplary
265,265,Mohite Patil Dhairyasheel Rajsinh,Maharashtra,MADHA,BJP,59,37,62.71,6.86,55.7,61.02,36.82,100,High Risk
266,266,Murlidhar Mohol,Maharashtra,PUNE,BJP,26,18,69.23,7.28,90.4,65.38,56.34,100,Moderate Risk
267,267,Narayan Tatu Rane,Maharashtra,RATNAGIRI-SINDHUDURG,INC,24,14,58.33,10.44,55.0,66.67,24.22,100,High Risk
268,268,Naresh Ganpat Mhaske,Maharashtra,THANE,SP,30,20,66.67,13.34,58.9,73.33,41.79,100,Moderate Risk
269,269,Nilesh Dnyandev Lanke,Maharashtra,AHMEDNAGAR,DMK,31,17,54.84,4.57,74.4,83.87,53.85,100,Moderate Risk
270,270,Nitin Jairam Gadkari,Maharashtra,NAGPUR,BSP,43,28,65.12,11.4,99.8,58.14,44.14,100,Moderate Risk
271,271,Omprakash Bhupalsinh Alias Pawan Rajenimbalkar,Maharashtra,OSMANABAD,BJD,26,19,73.08,7.77,85.6,73.08,27.87,100,High Risk
272,272,Piyush Vedprakash Goyal,Maharashtra,MUMBAI NORTH,DMK,19,13,68.42,19.74,51.7,73.68,68.3,100,Clean / Exemplary
273,273,Praniti Sushilkumar Shinde,Maharashtra,SOLAPUR(SC),AITC,35,23,65.71,11.39,84.0,60.0,79.6,100,Clean / Exemplary
274,274,Prataprao Jadhav,Maharashtra,BULDHANA,BJD,18,9,50.0,7.92,36.9,66.67,44.23,100,Moderate Risk
275,275,Rajabhau,Maharashtra,NASHIK,BJP,7,3,42.86,-1.93,50.9,85.71,33.39,100,High Risk
276,276,Ravindra Dattaram Waikar,Maharashtra,MUMBAI NORTH WEST,DMK,40,24,60.0,12.99,44.9,55.0,60.6,100,Moderate Risk
277,277,Ravindra Vasantrao Chavan,Maharashtra,NANDED,BSP,49,32,65.31,8.33,83.4,73.47,24.1,100,High Risk
278,278,Sanjay Dina Patil,Maharashtra,MUMBAI NORTH EAST,JDU,29,18,62.07,9.16,83.9,86.21,48.78,100,Moderate Risk
279,279,Sanjay Haribhau Jadhav,Maharashtra,PARBHANI,AITC,24,17,70.83,14.35,70.2,66.67,87.44,100,Clean / Exemplary
280,280,Sanjay Uttamrao Deshmukh,Maharashtra,YAVATMAL-WASHIM,TMC,50,37,74.0,10.3,81.3,64.0,50.52,100,Moderate Risk
281,281,Shrikant Eknath Shinde,Maharashtra,KALYAN,YSR Congress,15,9,60.0,0.91,69.4,60.0,38.03,100,High Risk
282,282,Shrimant Chh Udayanraje Pratapsinhamaharaj Bhonsle,Maharashtra,SATARA,INC,21,12,57.14,6.01,38.7,85.71,46.87,100,Moderate Risk
283,283,Shrirang Appa Barne,Maharashtra,MAVAL,INC,12,6,50.0,5.88,78.2,91.67,66.8,100,Clean / Exemplary
284,284,Shyamkumar,Maharashtra,RAMTEK(SC),YSR Congress,36,22,61.11,4.76,54.4,75.0,64.53,100,Moderate Risk
285,285,Smita Uday Wagh,Maharashtra,JALGAON,DMK,31,21,67.74,14.68,88.6,54.84,31.75,100,High Risk
286,286,Smt Raksha Nikhil Khadse,Maharashtra,RAVER,BJP,21,14,66.67,16.7,72.8,71.43,54.23,100,Moderate Risk
287,287,Smt Supriya Sadanand Sule,Maharashtra,BARAMATI,INC,14,8,57.14,9.51,111.5,85.71,47.26,100,Moderate Risk
288,288,Sunil Dattatray Tatkare,Maharashtra,RAIGAD,BSP,28,21,75.0,10.55,101.3,85.71,40.0,100,Moderate Risk
289,289,Vishal,Maharashtra,SANGLI,BJD,25,16,64.0,11.71,55.7,68.0,40.67,100,Moderate Risk
290,290,Alfred Kanngam S Arthur,Manipur,OUTER MANIPUR(ST),INC,10,10,100.0,20.67,132.9,70.0,54.57,100,Moderate Risk
291,291,Angomcha Bimol Akoijam,Manipur,INNER MANIPUR,BJP,27,18,66.67,2.27,55.5,59.26,78.47,100,Clean / Exemplary
292,292,Andrew J. Syngkon,Meghalaya,SHILLONG,YSR Congress,9,8,88.89,17.53,112.7,44.44,45.74,100,Moderate Risk
293,293,Saleng A Sangma,Meghalaya,TURA,JDU,26,10,38.46,3.44,51.7,76.92,38.32,100,High Risk
294,294,Richard Vanlalhmangaiha,Mizoram,MIZORAM (ST),BJP,26,19,73.08,7.65,89.9,53.85,56.21,100,Moderate Risk
295,295,S Supongmeren Jamir,Nagaland,NAGALAND,INC,36,26,72.22,6.99,83.4,63.89,85.85,100,Clean / Exemplary
296,296,Ananta Nayak,Odisha,KEONJHAR(ST),BJP,49,34,69.39,13.1,59.3,77.55,83.58,100,Clean / Exemplary
297,297,Anita Subhadarshini,Odisha,ASKA,DMK,17,13,76.47,21.85,58.0,76.47,66.2,100,Clean / Exemplary
298,298,Avimanyu Sethi,Odisha,BHADRAK(SC),SHS,16,9,56.25,9.31,34.8,75.0,22.14,100,High Risk
299,299,Baijayant Panda,Odisha,KENDRAPARA,YSR Congress,15,12,80.0,14.85,85.9,60.0,71.65,100,Clean / Exemplary
300,300,Balabhadra Majhi,Odisha,NABARANGPUR(ST),AAP,23,17,73.91,8.16,75.0,78.26,31.63,100,High Risk
301,301,Bibhu Prasad Tarai,Odisha,JAGATSINGHPUR(SC),SP,13,8,61.54,14.47,49.2,53.85,86.31,100,Clean / Exemplary
302,302,Dharmendra Pradhan,Odisha,SAMBALPUR,BJP,29,18,62.07,9.58,91.8,68.97,51.32,100,Moderate Risk
303,303,Dr. Pradeep Kumar Panigrahy,Odisha,BERHAMPUR,BJP,14,9,64.29,4.89,53.2,78.57,30.62,100,High Risk
304,304,Malvika Devi,Odisha,KALAHANDI,JDU,16,10,62.5,12.34,61.9,37.5,29.21,100,High Risk
305,305,Naba Charan Majhi,Odisha,MAYURBHANJ (ST),DMK,39,28,71.79,9.69,66.5,53.85,45.95,100,Moderate Risk
306,306,Pradeep Purohit,Odisha,BARGARH,BJP,9,8,88.89,9.42,99.1,77.78,22.53,100,High Risk
307,307,Pratap Chandra Sarangi,Odisha,BALASORE,INC,37,23,62.16,2.52,63.7,59.46,42.19,100,Moderate Risk
308,308,Rabindra Narayan Behera,Odisha,JAJPUR(SC),BSP,28,17,60.71,5.78,75.2,53.57,63.1,100,Moderate Risk
309,309,Rudra Narayan Pany,Odisha,DHENKANAL,BJP,20,16,80.0,16.04,97.0,70.0,30.97,100,High Risk
310,310,Sambit Patra,Odisha,PURI,BSP,28,18,64.29,15.39,99.6,85.71,73.16,100,Clean / Exemplary
311,311,Saptagiri Sankar Ulaka,Odisha,KORAPUT(ST),INC,30,22,73.33,19.49,82.4,63.33,28.38,100,High Risk
312,312,Shri Bhartruhari Mahtab,Odisha,CUTTACK,TDP,39,24,61.54,9.54,98.4,66.67,84.27,100,Clean / Exemplary
313,313,Shri Jual Oram,Odisha,SUNDARGARH (ST),DMK,56,37,66.07,6.1,54.9,53.57,61.78,100,Moderate Risk
314,314,Smt Aparajita Sarangi,Odisha,BHUBANESWAR,BSP,32,21,65.62,12.81,58.4,71.88,41.02,100,Moderate Risk
315,315,Smt Sangeeta Kumari Singh Deo,Odisha,BOLANGIR,CPI(M),46,29,63.04,6.03,92.5,56.52,83.01,100,Clean / Exemplary
316,316,Sukanta Kumar Panigrahi,Odisha,KANDHAMAL,JDU,31,22,70.97,6.65,89.9,67.74,31.83,100,High Risk
317,317,Vaithilingam Ve,Puducherry,PUDUCHERRY,BJP,13,10,76.92,15.16,59.7,76.92,40.33,100,Moderate Risk
318,318,Amrinder Singh Raja Warring,Punjab,LUDHIANA,AAP,49,30,61.22,11.77,54.4,69.39,42.62,100,Moderate Risk
319,319,Charanjit Singh Channi,Punjab,JALANDHAR(SC),Others,42,29,69.05,7.02,87.2,76.19,76.9,100,Clean / Exemplary
320,320,Dr Dharamvira Gandhi,Punjab,PATIALA,BJP,19,10,52.63,9.25,91.0,63.16,58.97,100,Moderate Risk
321,321,Dr. Raj Kumar Chabbewal,Punjab,HOSHIARPUR(SC),BJP,40,21,52.5,2.37,54.1,70.0,27.74,100,High Risk
322,322,Gurmeet Singh Meet Hayer,Punjab,SANGRUR,DMK,10,4,40.0,-1.61,59.0,80.0,21.57,100,High Risk
323,323,Malvinder Singh Kang,Punjab,ANANDPUR SAHIB,TDP,21,12,57.14,9.26,65.0,71.43,88.0,100,Clean / Exemplary
324,324,Sarabjeet Singh Khalsa,Punjab,FARIDKOT(SC),NCP,8,5,62.5,-1.74,64.6,100.0,32.49,100,High Risk
325,325,Sher Singh Ghubaya,Punjab,FIROZPUR,DMK,42,24,57.14,9.0,63.1,57.14,31.36,100,High Risk
326,326,Shri Amar Singh,Punjab,FATEHGARH SAHIB(SC),BJP,11,10,90.91,12.08,38.9,36.36,68.04,100,Clean / Exemplary
327,327,Shri Gurjeet Singh Aujla,Punjab,AMRITSAR,BJP,12,9,75.0,15.7,91.2,75.0,69.26,100,Clean / Exemplary
328,328,Smt Harsimrat Kaur Badal,Punjab,BHATINDA,YSR Congress,30,20,66.67,5.95,59.7,60.0,53.29,100,Moderate Risk
329,329,Sukhjinder Singh Randhawa,Punjab,GURDASPUR,AITC,23,12,52.17,5.03,46.3,78.26,39.3,100,High Risk
330,330,Amraram,Rajasthan,SIKAR,BJP,56,34,60.71,11.69,53.1,66.07,46.7,100,Moderate Risk
331,331,Bhagirath Chaudhary,Rajasthan,AJMER,YSR Congress,31,20,64.52,10.28,83.1,74.19,28.27,100,High Risk
332,332,Bhajan Lal Jatav,Rajasthan,KARAULI-DHOLPUR(SC),BJP,35,25,71.43,15.89,65.7,65.71,76.24,100,Clean / Exemplary
333,333,Bhupender Yadav,Rajasthan,ALWAR,INC,36,22,61.11,11.48,83.2,69.44,25.94,100,High Risk
334,334,Brijendra Singh Ola,Rajasthan,JHUNJHUNU,BJP,31,19,61.29,12.57,60.1,77.42,20.85,100,High Risk
335,335,Chandra Prakash Joshi,Rajasthan,CHITTORGARH,NCP,18,11,61.11,5.58,58.7,50.0,21.85,100,High Risk
336,336,Damodar Agarwal,Rajasthan,BHILWARA,BJP,22,13,59.09,6.9,83.5,68.18,36.81,100,High Risk
337,337,Dushyant Singh,Rajasthan,JHALAWAR-BARAN,INC,17,11,64.71,3.95,77.5,70.59,56.32,100,Moderate Risk
338,338,Gajendra Singh Shekhawat,Rajasthan,JODHPUR,TMC,28,16,57.14,7.48,60.6,75.0,74.29,100,Clean / Exemplary
339,339,Harish Chandra Meena,Rajasthan,TONK-SAWAI MADHOPUR,BJP,37,22,59.46,6.59,39.7,78.38,62.04,100,Moderate Risk
340,340,Kuldeep Indora,Rajasthan,GANGANAGAR(SC),BSP,28,18,64.29,16.41,60.7,60.71,68.65,100,Clean / Exemplary
341,341,Lumbaram,Rajasthan,JALORE,BJP,30,22,73.33,13.26,62.2,70.0,22.21,100,High Risk
342,342,Mahima Kumari Mewar,Rajasthan,RAJSAMAND,INC,5,3,60.0,11.6,23.4,80.0,37.76,100,High Risk
343,343,Manju Sharma,Rajasthan,JAIPUR,BJP,21,15,71.43,6.3,63.6,85.71,63.16,100,Moderate Risk
344,344,Manna Lal Rawat,Rajasthan,UDAIPUR(ST),BJP,40,28,70.0,7.73,47.5,62.5,31.69,100,High Risk
345,345,Murari Lal Meena,Rajasthan,DAUSA(ST),BJP,31,21,67.74,6.51,43.1,61.29,36.63,100,High Risk
346,346,Om Birla,Rajasthan,KOTA,SP,14,11,78.57,11.88,85.2,64.29,53.46,100,Moderate Risk
347,347,Rahul Kaswan,Rajasthan,CHURU,JDU,42,28,66.67,7.83,47.0,69.05,52.16,100,Moderate Risk
348,348,Raj Kumar Roat,Rajasthan,BANSWARA(ST),YSR Congress,25,20,80.0,13.61,105.3,64.0,82.66,100,Clean / Exemplary
349,349,Rao Rajendra Singh,Rajasthan,JAIPUR RURAL,YSR Congress,34,17,50.0,10.19,34.9,67.65,68.69,100,Clean / Exemplary
350,350,Sanjna Jatav,Rajasthan,BHARATPUR(SC),AAP,9,5,55.56,6.99,53.4,88.89,70.6,100,Clean / Exemplary
351,351,Shri Arjun Ram Meghwal,Rajasthan,BIKANER(SC),BSP,22,16,72.73,5.54,60.2,50.0,85.68,100,Clean / Exemplary
352,352,Shri Hanuman Beniwal,Rajasthan,NAGAUR,YSR Congress,17,10,58.82,10.53,43.8,76.47,52.81,100,Moderate Risk
353,353,Shri Pp Chaudhary,Rajasthan,PALI,INC,14,6,42.86,14.35,32.4,57.14,39.38,100,High Risk
354,354,Ummeda Ram Beniwal,Rajasthan,BARMER,AAP,33,24,72.73,11.75,56.0,54.55,63.73,100,Moderate Risk
355,355,Indra Hang Subba,Sikkim,SIKKIM,SP,11,8,72.73,4.39,23.3,72.73,56.55,100,Moderate Risk
356,356,Andimuthu Raja,Tamil Nadu,NILGIRIS(SC),BSP,37,25,67.57,5.81,58.7,72.97,36.94,100,High Risk
357,357,Arun Nehru,Tamil Nadu,PERAMBALUR,BJP,18,15,83.33,18.99,52.6,50.0,70.57,100,Clean / Exemplary
358,358,Cn Annadurai,Tamil Nadu,TIRUVANNAMALAI,BJP,19,10,52.63,5.65,89.2,63.16,58.16,100,Moderate Risk
359,359,D M Kathir Anand,Tamil Nadu,VELLORE,INC,27,16,59.26,4.07,97.4,77.78,53.6,100,Moderate Risk
360,360,D Ravikumar,Tamil Nadu,VILUPPURAM(SC),INC,33,21,63.64,9.07,48.6,60.61,40.42,100,Moderate Risk
361,361,Dr Rani Sri Kumar,Tamil Nadu,TENKASI(SC),TMC,12,7,58.33,8.44,54.4,66.67,60.41,100,Moderate Risk
362,362,Durai Vaiko,Tamil Nadu,TIRUCHIRAPPALLI,RJD,21,13,61.9,5.49,74.5,66.67,71.55,100,Clean / Exemplary
363,363,Eswarasamy K,Tamil Nadu,POLLACHI,INC,35,22,62.86,9.96,56.1,71.43,46.76,100,Moderate Risk
364,364,Ganapathy Rajkumar P,Tamil Nadu,COIMBATORE,BJP,44,29,65.91,11.85,77.3,56.82,52.39,100,Moderate Risk
365,365,Ganesan Selvam,Tamil Nadu,KANCHEEPURAM(SC),BJD,8,5,62.5,2.82,113.4,50.0,36.2,100,High Risk
366,366,Gopinath K,Tamil Nadu,KRISHNAGIRI,YSR Congress,38,25,65.79,6.28,76.5,71.05,61.32,100,Moderate Risk
367,367,K E Prakash,Tamil Nadu,ERODE,BJD,41,24,58.54,6.53,71.6,70.73,49.94,100,Moderate Risk
368,368,K Subbarayan,Tamil Nadu,TIRUPPUR,BJP,7,3,42.86,13.39,21.6,71.43,52.72,100,Moderate Risk
369,369,Kalanidhi Veeraswamy,Tamil Nadu,CHENNAI NORTH,TDP,15,9,60.0,13.51,14.8,53.33,53.2,100,Moderate Risk
370,370,Kani K Navas,Tamil Nadu,RAMANATHAPURAM,YSR Congress,34,20,58.82,10.0,47.8,85.29,63.18,100,Moderate Risk
371,371,Kanimozhi Karunanidhi,Tamil Nadu,THOOTHUKKUDI,BJP,36,22,61.11,9.16,103.6,69.44,57.8,100,Moderate Risk
372,372,M.K. Vishnuprasad,Tamil Nadu,CUDDALORE,DMK,28,17,60.71,10.2,54.0,60.71,25.61,100,High Risk
373,373,Malaiyarasan D,Tamil Nadu,KALLAKURICHI,YSR Congress,36,21,58.33,6.53,71.0,66.67,52.37,100,Moderate Risk
374,374,Mani. A.,Tamil Nadu,DHARAMAPURI,TMC,35,24,68.57,13.57,63.9,48.57,64.83,100,Moderate Risk
375,375,Manickam Tagore B,Tamil Nadu,VIRUDHUNAGAR,Independent,47,30,63.83,11.03,57.7,68.09,31.45,100,High Risk
376,376,Murasoli S,Tamil Nadu,THANJAVUR,TMC,38,22,57.89,6.89,73.9,52.63,66.77,100,Clean / Exemplary
377,377,Robert Bruce C,Tamil Nadu,TIRUNELVELI,YSR Congress,34,20,58.82,9.95,60.1,67.65,33.54,100,High Risk
378,378,S Venkatesan,Tamil Nadu,MADURAI,TMC,13,8,61.54,15.36,65.2,61.54,33.03,100,High Risk
379,379,S. Jagathrakshakan,Tamil Nadu,ARAKKONAM,TMC,36,20,55.56,5.41,51.7,91.67,27.42,100,High Risk
380,380,Sachithanantham R,Tamil Nadu,DINDIGUL,YSR Congress,36,25,69.44,11.4,71.7,77.78,73.59,100,Clean / Exemplary
381,381,Sasikanth Senthil,Tamil Nadu,TIRUVALLUR(SC),BJP,26,15,57.69,12.66,36.1,73.08,61.45,100,Moderate Risk
382,382,Selvaganapathi T M,Tamil Nadu,SALEM,YSR Congress,24,15,62.5,7.9,79.5,87.5,75.5,100,Clean / Exemplary
383,383,Selvaraj V,Tamil Nadu,NAGAPATTINAM(SC),BJP,43,29,67.44,9.33,97.0,60.47,84.06,100,Clean / Exemplary
384,384,Shri Karti P Chidambaram,Tamil Nadu,SIVAGANGA,INC,21,15,71.43,16.01,97.7,71.43,52.87,100,Moderate Risk
385,385,Shri Vijayakumar Vasanth,Tamil Nadu,KANNIYAKUMARI,BJP,10,6,60.0,8.82,77.4,90.0,68.2,100,Clean / Exemplary
386,386,Smt S Jothimani,Tamil Nadu,KARUR,TMC,20,12,60.0,4.4,112.2,55.0,68.18,100,Clean / Exemplary
387,387,Sudha R,Tamil Nadu,MAYILADUTHURAI,YSR Congress,25,16,64.0,3.7,98.7,68.0,35.57,100,High Risk
388,388,T Sumathy (A) Thamizhachi Thangapandian,Tamil Nadu,CHENNAI SOUTH,CPI(M),37,24,64.86,3.85,91.5,78.38,39.51,100,High Risk
389,389,Thalikkottai Rajuthevar Baalu,Tamil Nadu,SRIPERUMBUDUR,INC,14,10,71.43,14.81,43.8,85.71,39.63,100,High Risk
390,390,Thanga Tamilselvan,Tamil Nadu,THENI,NCP,12,8,66.67,17.63,64.2,58.33,44.42,100,Moderate Risk
391,391,Tharaniventhan M S,Tamil Nadu,ARANI,BJP,31,19,61.29,10.65,48.8,67.74,68.2,100,Clean / Exemplary
392,392,Thiru Dayanidhi Maran,Tamil Nadu,CHENNAI CENTRAL,BJP,19,8,42.11,8.27,49.1,68.42,75.62,100,Clean / Exemplary
